Matlab,Python
0+0i,0
0.1+0i,0.1
0.2+0i,0.2
0.3+0i,0.3
0.4+0i,0.4
0.5+0i,0.5
0.6+0i,0.6
0.7+0i,0.7
0.8+0i,0.8
0.9+0i,0.9
-0.636295839623702+0i,-0.636295837
0.0451684908213146+0i,0.045168491
0.0505613137048099+0i,0.050561314
0.0558954333489617+0i,0.055895433
0.0611737715580151+0i,0.061173772
0.0663982317106319+0i,0.066398232
0.0715698403721748+0i,0.07156984
0.0766889084780343+0i,0.076688909
0.0817551957972126+0i,0.081755196
0.0867680663158659+0i,0.086768066
0.091726626432468+0i,0.091726626
-664.310702866181+0i,-664.3107029
-717.902500050919+0i,-717.9025001
-628.318530717965+0i,-628.3185307
-573.387044521821+0i,-573.3870445
-266.490052928374+0i,-266.4900529
-105.196968653568+0i,-105.1969687
-18.5808824960045+0i,-18.5808825
-31.6903256531424+0i,-31.69032565
-0.309644595597376+0i,-0.309644596
-6.57013270965709+0i,-6.57013271
-3.08710590194758+0i,-3.087105902
-0.592309481720335+0i,-0.592309482
-6.13538764475689+0i,-6.135387645
